Alloy name (composition),Phase (if known),FCC,BCC,Im,HCP,sigma,Processing (if known),Processing (Binary),Reference,Hardness (HV),Yield strength (MPa),Tensile strength (MPa),Elongation (ductility) %,Compressive strength (MPa),Plasticity  (ductility) %,delete,duplicate
AlCoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,484,,,,,,,
AlCoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,520,,,,1373,25,,
AlCoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1051,,,
AlCoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1051,,,
AlCoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1110,,,
AlCoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1138,11,,
AlCoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1138,,,
AlCoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1251,33,,
AlCoCrFeNiSi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1110,,,
Al0.25MoNbTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,460,,,,1250,13,,
Al0.25NbTaTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1330,,,
Al0.2Co1.5CrFeNi1.5Ti,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,717,,,,,,,
Al0.2Co1.5CrFeNi1.5Ti0.5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,487,,,,,,,
AlCoCrFeNiSi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,2411,1,,
AlCoCrFeNiTi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1860,9,,
Al0.38CoCrFeMnNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,182,244,,45,,,,
Al0.3CoCrCuFe,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,180,,,,,,,
Al0.3CoCrCuFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,180,,,,,,,
AlCoCrFeNiTi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,,6,,
AlCoCrFeNiTi0.5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,178,,,,2040,24,,
AlCoCrFeNiTi0.5,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,178,,,,2260,23,,
AlCr0.5NbTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1300,1,,
AlCr1.5NbTiV,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1700,1,,
AlCrCuFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,342,,,,,,,
AlCrCuFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,495,,,,,,,
AlCrFeNiMo0.5,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,622,,,,1749,13,,
AlCrFeNiMo0.5,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,623.7,,,,1914.1,27.9,,
AlCrNbTiV,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1550,1,,
AlNbTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,448,,,,1020,5,,
AlNbTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1000,5,,
CoCrCuFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,132,,,,230,,,
CoCrCuFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,286,,,,230,51,,
CoCrCuFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,286,,,,,,,
CoCrCuFeNiTi0.5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,700,22,,
CoCrCuFeNiTi0.5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,700,29,,
CoCrFeMnNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,144,,,,230,75,,
CoCrFeMnNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,176,208,,62,,,,
CoCrFeMnNi,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,,245,530,49.1,,,,
CoCrFeMnNiV0.25,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,151,,,,200,75,,
CoCrFeMnNiV0.5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,186,,,,620,75,,
CoCrFeMnNiV0.75,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,342,,,,740,8,,
Al0.3CoCrFeNiSi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.142983 ,,167,450,88,,,,
Al0.3CoCrFeNiSi0.1,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.142983 ,,217,489,98,,,,
Al0.3CoCrFeNiSi0.2,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.142983 ,,258,591,86,,,,
Al0.3CoCrFeNiSi0.3,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.142983 ,,428,717,58,,,,
Al0.3CoCrFeNiSi0.4,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.142983 ,,625,774,18,,,,
Al0.3CoCrFeNiSi0.5,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.142983 ,,713,748,6,,,,
Al0.3CrFe1.5MnNi0.5,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,297,,,,,,,
Al0.3HfNbTaTiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,353,,,,1188,50,,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,500,,,,1965,5,,
Al0.3NbTaTi1.4Zr1.3,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,490,,,,1965,5,,
Al0.43CoCrFeMnNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,183,285,,35,,,,
Al0.49CoCrFeMnNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,220,331,,29,,,,
Al0.4Hf0.6NbTaTiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,500,,,,1841,10,,
Al0.56CoCrFeMnNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,278,526,,16,,,,
Al0.5B0.2CoCrCuFeNi,,NA,NA,NA,NA,NA,,NA,https://doi.org/10.1016/j.dib.2018.11.111,415,,,,,,,
Al0.5B0.6CoCrCuFeNi,,NA,NA,NA,NA,NA,,NA,https://doi.org/10.1016/j.dib.2018.11.111,505,,,,,,,
Al0.5BCoCrCuFeNi,,NA,NA,NA,NA,NA,,NA,https://doi.org/10.1016/j.dib.2018.11.111,736,,,,,,,
Al0.5CoCrCu0.5FeNiTi0.5,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1580,17,,
Al0.5CoCrCuFe,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,207,,,,,,,
CoCrFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.intermet.2021.107167,110,209,590,60,,,,
CoCrFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,113,,,,,,,
CoCrFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,116,,,,,,,
CoCrFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,148,413,48,,,,
Al0.5CoCrCuFeNiTi,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,636,,,,,,,
Al0.5CoCrCuFeNiTi0.2,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,272,,,,,,,
Al0.5CoCrCuFeNiTi0.4,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,321,,,,,,,
Al0.5CoCrCuFeNiTi0.6,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,458,,,,,,,
Al0.5CoCrCuFeNiTi0.8,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,590,,,,,,,
Al0.5CoCrCuFeNiTi1.2,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,646,,,,,,,
Al0.5CoCrCuFeNiTi1.4,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,664,,,,,,,
Al0.5CoCrCuFeNiTi1.6,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,657,,,,,,,
Al0.5CoCrCuFeNiTi1.8,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,667,,,,,,,
Al0.5CoCrCuFeNiTi2,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,696,,,,,,,
Al0.5CoCrCuFeNiV0.2,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,204,,,,,,,
Al0.5CoCrCuFeNiV0.4,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,231,,,,,,,
Al0.5CoCrCuFeNiV0.6,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,328,,,,,,,
Al0.5CoCrCuFeNiV0.8,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,447,,,,,,,
Al0.5CoCrCuFeNiV1.0,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,639,,,,,,,
